"","campaign","name","keywords","",""
"133","SEM_Campaign","Kapunga Thin Rice","low effort kapunga thin rice quality","Phrase","Low Effort;Quality"
"134","SEM_Campaign","Kapunga Thin Rice","+low +effort +kapunga +thin +rice +quality","Broad","Low Effort;Quality"
"135","SEM_Campaign","Kapunga Thin Rice","low effort kapunga thin rice delicious","Exact","Low Effort;Delicious"
"136","SEM_Campaign","Kapunga Thin Rice","low effort kapunga thin rice delicious","Phrase","Low Effort;Delicious"
"137","SEM_Campaign","Kapunga Thin Rice","+low +effort +kapunga +thin +rice +delicious","Broad","Low Effort;Delicious"
"138","SEM_Campaign","Kapunga Thin Rice","low effort quality kapunga thin rice","Exact","Low Effort;Quality"
"139","SEM_Campaign","Kapunga Thin Rice","low effort quality kapunga thin rice","Phrase","Low Effort;Quality"
"140","SEM_Campaign","Kapunga Thin Rice","+low +effort +quality +kapunga +thin +rice","Broad","Low Effort;Quality"
"141","SEM_Campaign","Kapunga Thin Rice","low effort delicious kapunga thin rice","Exact","Low Effort;Delicious"
"142","SEM_Campaign","Kapunga Thin Rice","low effort delicious kapunga thin rice","Phrase","Low Effort;Delicious"
"143","SEM_Campaign","Kapunga Thin Rice","+low +effort +delicious +kapunga +thin +rice","Broad","Low Effort;Delicious"
"144","SEM_Campaign","Kapunga Taichin","kapunga taichin quality","Exact","Quality"
"145","SEM_Campaign","Kapunga Taichin","kapunga taichin quality","Phrase","Quality"
"146","SEM_Campaign","Kapunga Taichin","+kapunga +taichin +quality","Broad","Quality"
"147","SEM_Campaign","Kapunga Taichin","kapunga taichin delicious","Exact","Delicious"
"148","SEM_Campaign","Kapunga Taichin","kapunga taichin delicious","Phrase","Delicious"
"149","SEM_Campaign","Kapunga Taichin","+kapunga +taichin +delicious","Broad","Delicious"
"150","SEM_Campaign","Kapunga Taichin","kapunga taichin low effort","Exact","Low Effort"
"151","SEM_Campaign","Kapunga Taichin","kapunga taichin low effort","Phrase","Low Effort"
"152","SEM_Campaign","Kapunga Taichin","+kapunga +taichin +low +effort","Broad","Low Effort"
"153","SEM_Campaign","Kapunga Taichin","quality kapunga taichin","Exact","Quality"
"154","SEM_Campaign","Kapunga Taichin","quality kapunga taichin","Phrase","Quality"
"155","SEM_Campaign","Kapunga Taichin","+quality +kapunga +taichin","Broad","Quality"
